Email Date,Remaining Oil Life (%),Odometer Reading (Mileage)
9/22/2015,48,37660
10/22/2015,24,41071
11/21/2015,75,44536
12/21/2015,62,46372
1/20/2016,38,49327
2/20/2016,15,52494
3/20/2016,84,55208
4/20/2016,63,58206
5/19/2016,43,61077
6/17/2016,24,63920
7/18/2016,97,66259
8/17/2016,77,69384
9/15/2016,57,72277
10/17/2016,36,75422
11/15/2016,13,78596
12/15/2016,84,81295
1/14/2017,67,83240
2/13/2017,43,85723
3/15/2017,18,89069
4/14/2017,93,91925
5/13/2017,71,95097
6/13/2017,53,97920
7/23/2017,98,102917
8/11/2017,85,104670
9/11/2017,65,107755
10/10/2017,42,111311
